brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,price_band
48759.0,sold,68500.0,,,9.9,594454.0,Saint Augustine,Florida,32092,,2021-12-02,low
106244.0,sold,119000.0,,,0.67,1515618.0,Saint Augustine,Florida,32092,,2022-01-31,low
106244.0,sold,155000.0,,,1.11,1518989.0,Saint Augustine,Florida,32092,,2022-01-31,low
10416.0,sold,220000.0,,,0.81,1515233.0,Saint Augustine,Florida,32092,,2021-12-30,low
29211.0,sold,227990.0,2,3,0.07,1629208.0,Saint Augustine,Florida,32092,1239.0,2021-10-29,low
4305.0,sold,249900.0,2,3,,908825.0,Saint Augustine,Florida,32092,1222.0,2021-12-15,low
29211.0,sold,264990.0,3,3,,1660680.0,Saint Augustine,Florida,32092,1438.0,2021-10-29,low
22537.0,sold,307000.0,3,2,,105706.0,Saint Augustine,Florida,32092,1126.0,2021-12-30,low
53098.0,sold,325000.0,3,2,0.17,404674.0,Saint Augustine,Florida,32092,1126.0,2022-03-31,low
70650.0,sold,350000.0,3,3,,143495.0,Saint Augustine,Florida,32092,1545.0,2022-03-31,low
10417.0,sold,375000.0,3,2,0.17,475848.0,Saint Augustine,Florida,32092,1739.0,2021-11-29,low
25783.0,sold,386990.0,3,2,,360767.0,Saint Augustine,Florida,32092,1646.0,2021-12-30,low
26381.0,sold,390990.0,3,2,0.13,1193296.0,Saint Augustine,Florida,32092,1646.0,2021-11-05,low
88890.0,sold,393000.0,3,3,,1377360.0,Saint Augustine,Florida,32092,1790.0,2022-03-31,low
34216.0,sold,395000.0,2,2,,1304750.0,Saint Augustine,Florida,32092,1679.0,2022-03-31,low
29212.0,sold,396990.0,3,2,,1069251.0,Saint Augustine,Florida,32092,1388.0,2022-01-31,low
84595.0,sold,398000.0,4,2,,64692.0,Saint Augustine,Florida,32092,1776.0,2022-03-24,low
26381.0,sold,400000.0,3,2,0.13,366760.0,Saint Augustine,Florida,32092,1646.0,2021-10-29,mid
27035.0,sold,410976.0,3,2,0.11,1382634.0,Saint Augustine,Florida,32092,1740.0,2021-12-30,mid
25783.0,sold,414990.0,4,3,,1103999.0,Saint Augustine,Florida,32092,1779.0,2022-03-31,mid
51511.0,sold,419000.0,3,3,,696410.0,Saint Augustine,Florida,32092,1887.0,2022-03-31,mid
26276.0,sold,420000.0,3,2,,693199.0,Saint Augustine,Florida,32092,2115.0,2022-02-18,mid
27035.0,sold,422915.0,3,2,0.11,1312754.0,Saint Augustine,Florida,32092,1674.0,2022-03-31,mid
87297.0,sold,425000.0,3,2,,858720.0,Saint Augustine,Florida,32092,1850.0,2022-04-25,mid
25783.0,sold,429990.0,3,2,,1118514.0,Saint Augustine,Florida,32092,1934.0,2022-03-31,mid
106263.0,sold,435000.0,4,2,,1267651.0,Saint Augustine,Florida,32092,2005.0,2022-03-31,mid
26381.0,sold,438990.0,3,3,0.15,21294.0,Saint Augustine,Florida,32092,2053.0,2021-12-30,mid
82312.0,sold,448990.0,3,4,,744105.0,Saint Augustine,Florida,32092,2418.0,2021-11-29,mid
10417.0,sold,455000.0,2,2,,517500.0,Saint Augustine,Florida,32092,2160.0,2022-01-24,mid
25783.0,sold,455990.0,3,3,,1122189.0,Saint Augustine,Florida,32092,2206.0,2022-03-29,mid
26381.0,sold,459990.0,3,3,0.11,1086625.0,Saint Augustine,Florida,32092,2206.0,2022-03-29,mid
25783.0,sold,465990.0,3,3,,995245.0,Saint Augustine,Florida,32092,2053.0,2022-03-31,mid
82312.0,sold,484990.0,2,3,,836837.0,Saint Augustine,Florida,32092,2418.0,2022-03-31,mid
27035.0,sold,491984.0,3,2,0.11,522552.0,Saint Augustine,Florida,32092,1753.0,2022-04-25,high
16831.0,sold,497999.0,4,3,0.13,590979.0,Saint Augustine,Florida,32092,2035.0,2022-04-22,high
27035.0,sold,513460.0,4,3,0.11,937123.0,Saint Augustine,Florida,32092,2340.0,2021-10-29,high
70677.0,sold,529900.0,4,4,,1382514.0,Saint Augustine,Florida,32092,2682.0,2022-03-08,high
70677.0,sold,539900.0,5,3,,41731.0,Saint Augustine,Florida,32092,2913.0,2022-03-08,high
106243.0,sold,549900.0,4,3,,1530989.0,Saint Augustine,Florida,32092,2357.0,2022-04-25,high
109599.0,sold,560900.0,4,3,,1013758.0,Saint Augustine,Florida,32092,2358.0,2022-02-18,high
96493.0,sold,569000.0,3,2,,1274529.0,Saint Augustine,Florida,32092,1896.0,2022-03-31,high
68267.0,sold,577990.0,4,3,,333719.0,Saint Augustine,Florida,32092,2987.0,2021-10-29,high
22537.0,sold,584900.0,4,3,0.21,1244585.0,Saint Augustine,Florida,32092,2647.0,2022-03-31,high
10418.0,sold,608800.0,5,5,,1340569.0,Saint Augustine,Florida,32092,3254.0,2022-03-29,high
27035.0,sold,646396.0,4,4,0.17,1697557.0,Saint Augustine,Florida,32092,3061.0,2022-03-29,high
106243.0,sold,665000.0,5,4,,856394.0,Saint Augustine,Florida,32092,3279.0,2022-04-14,high
35813.0,sold,675000.0,4,3,,659429.0,Saint Augustine,Florida,32092,2844.0,2022-03-31,high
81230.0,sold,695000.0,4,4,0.36,847937.0,Saint Augustine,Florida,32092,2930.0,2022-04-22,high
81230.0,sold,725000.0,6,4,,577679.0,Saint Augustine,Florida,32092,3749.0,2022-04-22,high
10414.0,sold,885000.0,5,4,,427043.0,Saint Augustine,Florida,32092,3629.0,2022-04-22,high
