listing_id,model,prompt_version,price_band,status,price,bed,bath,acre_lot,house_size,city,state,zip_code,prev_sold_date,summary_text,prompt_eval_count,eval_count,total_duration_ns
32092-sold-001,llama3:latest,v0,low,sold,68500.0,,,9.9,,Saint Augustine,Florida,32092,2021-12-02,"This charming property in Saint Augustine, Florida sold for $68,500. The lot measures approximately 9.9 acres and offers plenty of space to spread out. Located in zip code 32092, this property is situated in a desirable area.",176,58,12467257250
32092-sold-002,llama3:latest,v0,low,sold,119000.0,,,0.67,,Saint Augustine,Florida,32092,2022-01-31,"This charming property in Saint Augustine, Florida has been sold! With a price of $119,000, this home sits on approximately 0.67 acres of land.",176,35,1706375417
32092-sold-003,llama3:latest,v0,low,sold,155000.0,,,1.11,,Saint Augustine,Florida,32092,2022-01-31,"This charming property in Saint Augustine, Florida has sold for $155,000. The lot measures approximately 1.11 acres and is located in the desirable 32092 zip code.",176,38,1854692042
32092-sold-004,llama3:latest,v0,low,sold,220000.0,,,0.81,,Saint Augustine,Florida,32092,2021-12-30,"This charming property in Saint Augustine, Florida sold for $220,000. The lot measures approximately 0.81 acres and is located in the heart of this historic city. With an unknown number of bedrooms and bathrooms, this property offers a unique opportunity to make it your own.",176,57,2631038791
32092-sold-005,llama3:latest,v0,low,sold,227990.0,2,3,0.07,1239.0,Saint Augustine,Florida,32092,2021-10-29,"This charming 2-bedroom, 3-bathroom home in Saint Augustine, Florida offers 1239 sqft of interior space. Situated on a 0.07-acre lot, this property is conveniently located. Sold for $227,990 on October 29, 2021.",182,66,3067572625
32092-sold-006,llama3:latest,v0,low,sold,249900.0,2,3,,1222.0,Saint Augustine,Florida,32092,2021-12-15,"This charming 2-bedroom, 3-bathroom home in Saint Augustine, Florida features approximately 1222 square feet of interior space. Priced at $249,900, this property offers an ideal blend of comfort and affordability.",179,55,2536814333
32092-sold-007,llama3:latest,v0,low,sold,264990.0,3,3,,1438.0,Saint Augustine,Florida,32092,2021-10-29,"This charming 3 bedroom, 3 bathroom home in Saint Augustine, Florida features approximately 1438 square feet of interior space. Priced at $264,990, this property offers a great value for buyers seeking a comfortable retreat. Located in the heart of Saint Augustine, this residence provides easy access to local amenities and attractions.",179,75,3310348708
32092-sold-008,llama3:latest,v0,low,sold,307000.0,3,2,,1126.0,Saint Augustine,Florida,32092,2021-12-30,"This charming 3 bedroom, 2 bathroom home in Saint Augustine, Florida offers 1126 square feet of interior space. Priced at $307,000, this property is perfect for those looking to settle down in this historic city.",179,57,2891489125
32092-sold-009,llama3:latest,v0,low,sold,325000.0,3,2,0.17,1126.0,Saint Augustine,Florida,32092,2022-03-31,"This charming 3 bedroom, 2 bathroom home in Saint Augustine, Florida features approximately 1,126 square feet of interior space. Situated on a 0.17-acre lot, this property offers a great balance of indoor and outdoor living. Priced at $325,000, it's an excellent value for the area.",182,76,3486227291
32092-sold-010,llama3:latest,v0,low,sold,350000.0,3,3,,1545.0,Saint Augustine,Florida,32092,2022-03-31,"This charming 3 bedroom, 3 bathroom home in Saint Augustine, Florida features approximately 1545 square feet of interior space. Priced at $350,000, this property offers a great value for those looking to make their mark on the historic city.",179,61,2778721958
