listing_id,model,prompt_version,price_band,status,price,bed,bath,acre_lot,house_size,city,state,zip_code,prev_sold_date,summary_text,prompt_eval_count,eval_count,total_duration_ns
32092-sold-001,gpt-oss:20b,v0,low,sold,68500.0,,,9.9,,Saint Augustine,Florida,32092,2021-12-02,"Sold for $68,500, this property sits on a 9.9‑acre lot in Saint Augustine, Florida 32092. The home was last sold on December 2, 2021.",234,434,14970775500
32092-sold-002,gpt-oss:20b,v0,low,sold,119000.0,,,0.67,,Saint Augustine,Florida,32092,2022-01-31,"This property in Saint Augustine, FL (zip 32092) sold for $119,000. It sits on a 0.67‑acre lot. The listing was closed on January 31, 2022.",234,449,7526148600
32092-sold-003,gpt-oss:20b,v0,low,sold,155000.0,,,1.11,,Saint Augustine,Florida,32092,2022-01-31,"Sold for $155,000, this property sits on 1.11 acres in Saint Augustine, Florida 32092.  
The home was last sold on January 31, 2022.",234,427,7136843100
32092-sold-004,gpt-oss:20b,v0,low,sold,220000.0,,,0.81,,Saint Augustine,Florida,32092,2021-12-30,"Sold for $220,000, this property sits on 0.81 acres in Saint Augustine, Florida 32092.  
Previously sold on December 30, 2021.",234,399,6645176400
32092-sold-005,gpt-oss:20b,v0,low,sold,227990.0,2,3,0.07,1239.0,Saint Augustine,Florida,32092,2021-10-29,"This 2‑bed, 3‑bath home in Saint Augustine, FL (zip 32092) sold for $227,990. It offers 1,239 sq ft of interior space on a 0.07‑acre lot. The property was last sold on October 29, 2021.",240,440,7372439100
32092-sold-006,gpt-oss:20b,v0,low,sold,249900.0,2,3,,1222.0,Saint Augustine,Florida,32092,2021-12-15,"Sold for $249,900, this 2‑bed, 3‑bath home in Saint Augustine, FL offers 1,222 sq ft of living space. Located at 32092, the property was last sold on December 15, 2021.",237,369,6227691000
32092-sold-007,gpt-oss:20b,v0,low,sold,264990.0,3,3,,1438.0,Saint Augustine,Florida,32092,2021-10-29,"Sold for $264,990, this 3‑bed, 3‑bath home in Saint Augustine, FL (zip 32092) offers 1,438 sq ft of living space. The property sits on an unspecified lot size. It was last sold on October 29, 2021.",237,341,5738943500
32092-sold-008,gpt-oss:20b,v0,low,sold,307000.0,3,2,,1126.0,Saint Augustine,Florida,32092,2021-12-30,"This 3‑bedroom, 2‑bathroom home spans 1,126 sq ft and sold for $307,000. It is located in Saint Augustine, FL 32092.",237,420,6980601200
32092-sold-009,gpt-oss:20b,v0,low,sold,325000.0,3,2,0.17,1126.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $325,000, this 3‑bedroom, 2‑bath home in Saint Augustine, FL (zip 32092) offers 1,126 sq ft of living space on a 0.17‑acre lot. The property was last sold on March 31, 2022.",240,317,5359294500
32092-sold-010,gpt-oss:20b,v0,low,sold,350000.0,3,3,,1545.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $350,000, this 3‑bed, 3‑bath home in Saint Augustine, FL (zip 32092) offers 1,545 sq ft of living space. The property closed on March 31, 2022.",237,289,4921830400
