listing_id,model,prompt_version,price_band,status,price,bed,bath,acre_lot,house_size,city,state,zip_code,prev_sold_date,summary_text,prompt_eval_count,eval_count,total_duration_ns
32092-sold-001,gpt-oss:20b,v0,low,sold,68500.0,,,9.9,,Saint Augustine,Florida,32092,2021-12-02,"Sold for $68,500, this property sits on 9.9 acres in Saint Augustine, Florida 32092. The lot offers ample space for outdoor activities. It was sold on December 2, 2021.",234,684,21040622100
32092-sold-002,gpt-oss:20b,v0,low,sold,119000.0,,,0.67,,Saint Augustine,Florida,32092,2022-01-31,"Sold for $119,000, this property sits on a 0.67‑acre lot in Saint Augustine, FL 32092.  
The home was last sold on January 31, 2022.",234,530,8803086700
32092-sold-003,gpt-oss:20b,v0,low,sold,155000.0,,,1.11,,Saint Augustine,Florida,32092,2022-01-31,"Sold for $155,000, this property sits on a 1.11‑acre lot in Saint Augustine, Florida 32092. The home was last sold on January 31, 2022. No additional details on bedrooms, bathrooms, or interior square footage are available.",234,407,6819190200
32092-sold-004,gpt-oss:20b,v0,low,sold,220000.0,,,0.81,,Saint Augustine,Florida,32092,2021-12-30,"Sold for $220,000, this property sits on 0.81 acres in Saint Augustine, Florida 32092. The lot offers ample space for outdoor activities. The home was last sold on December 30, 2021. No additional details on bedrooms, bathrooms, or interior square footage are available.",234,481,7992298200
32092-sold-005,gpt-oss:20b,v0,low,sold,227990.0,2,3,0.07,1239.0,Saint Augustine,Florida,32092,2021-10-29,"This 2‑bed, 3‑bath home in Saint Augustine, FL (zip 32092) sits on a 0.07‑acre lot and offers 1,239 sq ft of living space. It sold for $227,990. The property was last sold on October 29, 2021.",240,511,8531396800
32092-sold-006,gpt-oss:20b,v0,low,sold,249900.0,2,3,,1222.0,Saint Augustine,Florida,32092,2021-12-15,"Sold for $249,900, this 2‑bed, 3‑bath home in Saint Augustine, FL 32092 offers 1,222 sq ft of living space. The property sits on an unspecified lot size. It was last sold on December 15, 2021.",237,450,7562384600
32092-sold-007,gpt-oss:20b,v0,low,sold,264990.0,3,3,,1438.0,Saint Augustine,Florida,32092,2021-10-29,"Sold in Saint Augustine, Florida, this 3‑bed, 3‑bath home sold for $264,990. The interior spans 1,438 sq ft. Located in ZIP code 32092.",237,248,4363959500
32092-sold-008,gpt-oss:20b,v0,low,sold,307000.0,3,2,,1126.0,Saint Augustine,Florida,32092,2021-12-30,"Sold for $307,000, this 3‑bed, 2‑bath home in Saint Augustine, FL (zip 32092) offers 1,126 sq ft of living space. The property sits on an unspecified lot size. It was last sold on December 30, 2021.",237,338,5780482900
32092-sold-009,gpt-oss:20b,v0,low,sold,325000.0,3,2,0.17,1126.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $325,000, this 3‑bed, 2‑bath home in Saint Augustine, FL (zip 32092) offers 1,126 sq ft of living space on a 0.17‑acre lot. The property was last sold on March 31, 2022.",240,413,6965736900
32092-sold-010,gpt-oss:20b,v0,low,sold,350000.0,3,3,,1545.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $350,000, this 3‑bed, 3‑bath home in Saint Augustine, FL (zip 32092) offers 1,545 sq ft of living space. The property sits on an unspecified lot size. It was last sold on March 31, 2022.",237,350,5994786100
32092-sold-011,gpt-oss:20b,v0,low,sold,375000.0,3,2,0.17,1739.0,Saint Augustine,Florida,32092,2021-11-29,"Sold for $375,000, this 3‑bed, 2‑bath home in Saint Augustine, FL (zip 32092) offers 1,739 sq ft of living space on a 0.17‑acre lot.  
The property was previously sold on November 29, 2021.",240,462,7765496500
32092-sold-012,gpt-oss:20b,v0,low,sold,386990.0,3,2,,1646.0,Saint Augustine,Florida,32092,2021-12-30,"Sold for $386,990, this 3‑bed, 2‑bath home offers 1,646 sq ft of living space in Saint Augustine, FL 32092. The property sits on an unlisted lot size. It was last sold on December 30, 2021.",237,495,8288150300
32092-sold-013,gpt-oss:20b,v0,low,sold,390990.0,3,2,0.13,1646.0,Saint Augustine,Florida,32092,2021-11-05,"This 3‑bed, 2‑bath home in Saint Augustine, FL (zip 32092) sold for $390,990. It offers 1,646 sq ft of living space on a 0.13‑acre lot.",240,261,4529077000
32092-sold-014,gpt-oss:20b,v0,low,sold,393000.0,3,3,,1790.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $393,000, this 3‑bed, 3‑bath home in Saint Augustine, FL offers 1,790 sq ft of living space. Located at 32092, the property was last sold on March 31, 2022.",237,298,5134254500
32092-sold-015,gpt-oss:20b,v0,low,sold,395000.0,2,2,,1679.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $395,000, this 2‑bed, 2‑bath home in Saint Augustine, FL (zip 32092) offers 1,679 sq ft of living space. The property was last sold on March 31, 2022. No lot size information is available.",237,311,5368754700
32092-sold-016,gpt-oss:20b,v0,low,sold,396990.0,3,2,,1388.0,Saint Augustine,Florida,32092,2022-01-31,"Sold for $396,990, this 3‑bed, 2‑bath home in Saint Augustine, FL 32092 offers 1,388 sq ft of living space. The property was last sold on January 31, 2022.",237,399,6735785300
32092-sold-017,gpt-oss:20b,v0,low,sold,398000.0,4,2,,1776.0,Saint Augustine,Florida,32092,2022-03-24,"Sold for $398,000, this 4‑bedroom, 2‑bath home offers 1,776 sq ft of living space in Saint Augustine, Florida 32092. The property sits on an unspecified lot size. It was last sold on March 24, 2022.",237,520,8663603000
32092-sold-018,gpt-oss:20b,v0,mid,sold,400000.0,3,2,0.13,1646.0,Saint Augustine,Florida,32092,2021-10-29,"Sold for $400,000, this 3‑bed, 2‑bath home in Saint Augustine, FL (zip 32092) offers 1,646 sq ft of living space on a 0.13‑acre lot. The property was last sold on October 29, 2021.",240,325,5555041400
32092-sold-019,gpt-oss:20b,v0,mid,sold,410976.0,3,2,0.11,1740.0,Saint Augustine,Florida,32092,2021-12-30,"Sold for $410,976, this 3‑bed, 2‑bath home in Saint Augustine, FL (zip 32092) offers 1,740 sq ft of living space on a 0.11‑acre lot. The property was last sold on December 30, 2021.",240,310,5273238800
32092-sold-020,gpt-oss:20b,v0,mid,sold,414990.0,4,3,,1779.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $414,990, this 4‑bedroom, 3‑bathroom home in Saint Augustine, FL, offers 1,779 sq ft of living space. Located in zip code 32092, the property sits on an unspecified lot size. The home was last sold on March 31, 2022.",237,401,6770882200
32092-sold-021,gpt-oss:20b,v0,mid,sold,419000.0,3,3,,1887.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $419,000, this 3‑bed, 3‑bath home in Saint Augustine, FL offers 1,887 sq ft of living space. Located at 32092, the property was last sold on March 31, 2022.",237,293,5058536600
32092-sold-022,gpt-oss:20b,v0,mid,sold,420000.0,3,2,,2115.0,Saint Augustine,Florida,32092,2022-02-18,"Sold for $420,000, this 3‑bedroom, 2‑bath home offers 2,115 square feet of living space in Saint Augustine, Florida 32092. The property was last sold on February 18, 2022.",237,845,13796248000
32092-sold-023,gpt-oss:20b,v0,mid,sold,422915.0,3,2,0.11,1674.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $422,915, this 3‑bed, 2‑bath home in Saint Augustine, FL (zip 32092) offers 1,674 sq ft of living space on a 0.11‑acre lot. The property was last sold on March 31, 2022.",240,501,8345392800
32092-sold-024,gpt-oss:20b,v0,mid,sold,425000.0,3,2,,1850.0,Saint Augustine,Florida,32092,2022-04-25,"Sold for $425,000, this 3‑bed, 2‑bath home in Saint Augustine, FL 32092 offers 1,850 sq ft of living space. The property sits on an unspecified lot size. It closed on April 25, 2022.",237,434,7255182200
32092-sold-025,gpt-oss:20b,v0,mid,sold,429990.0,3,2,,1934.0,Saint Augustine,Florida,32092,2022-03-31,"Sold for $429,990, this 3‑bed, 2‑bath home offers 1,934 sq ft of living space in Saint Augustine, FL 32092. The property sits on an unspecified lot size. The home was last sold on March 31, 2022.",237,376,6358640100
