listing_id,model,prompt_version,price_band,status,price,bed,bath,acre_lot,house_size,city,state,zip_code,prev_sold_date,summary_text,prompt_eval_count,eval_count,total_duration_ns
32092-sold-001,llama3:70b,v0,low,sold,68500.0,,,9.9,,Saint Augustine,Florida,32092,2021-12-02,"This property in Saint Augustine, Florida, sold for $68,500. Situated on a spacious 9.9-acre lot, it offers a peaceful setting in the 32092 zip code.",176,41,49825352600
32092-sold-002,llama3:70b,v0,low,sold,119000.0,,,0.67,,Saint Augustine,Florida,32092,2022-01-31,"This property in Saint Augustine, Florida sold for $119,000. Situated on a 0.67-acre lot, it's located in the desirable 32092 zip code.",176,38,24419474500
32092-sold-003,llama3:70b,v0,low,sold,155000.0,,,1.11,,Saint Augustine,Florida,32092,2022-01-31,"This property in Saint Augustine, Florida, sold for $155,000. Situated on a 1.11-acre lot, it's located in the desirable 32092 zip code.",176,39,25291188900
32092-sold-004,llama3:70b,v0,low,sold,220000.0,,,0.81,,Saint Augustine,Florida,32092,2021-12-30,"This property in Saint Augustine, Florida, sold for $220,000. It sits on a 0.81-acre lot and is located in the 32092 zip code.",176,37,23981339800
32092-sold-005,llama3:70b,v0,low,sold,227990.0,2,3,0.07,1239.0,Saint Augustine,Florida,32092,2021-10-29,"This charming property in Saint Augustine, Florida features 2 bedrooms, 3 bathrooms, and approximately 1239 square feet of living space on a 0.07-acre lot. Sold for $227,990, this residence offers a desirable location in the 32092 zip code.",182,58,36593847000
32092-sold-006,llama3:70b,v0,low,sold,249900.0,2,3,,1222.0,Saint Augustine,Florida,32092,2021-12-15,"This charming property in Saint Augustine, Florida offers 2 bedrooms and 3 bathrooms within its 1222 square feet of living space. Sold for $249,900, this residence is located in the desirable 32092 zip code. Enjoy all that Saint Augustine has to offer from this convenient location!",179,61,38155021400
32092-sold-007,llama3:70b,v0,low,sold,264990.0,3,3,,1438.0,Saint Augustine,Florida,32092,2021-10-29,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 3 bathrooms within its 1438 square feet of living space. Sold for $264,990, this residence is located in the desirable 32092 zip code. Enjoy all that Saint Augustine has to offer from this convenient location!",179,61,38423442900
32092-sold-008,llama3:70b,v0,low,sold,307000.0,3,2,,1126.0,Saint Augustine,Florida,32092,2021-12-30,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 2 bathrooms within its 1126 square feet of living space. Sold for $307,000, this home is located in the desirable 32092 zip code. Enjoy all that Saint Augustine has to offer from this convenient location!",179,61,39074030700
32092-sold-009,llama3:70b,v0,low,sold,325000.0,3,2,0.17,1126.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida features 3 bedrooms and 2 bathrooms within its 1,126 square foot interior. Situated on a 0.17-acre lot, it offers a peaceful setting. Sold for $325,000, this home is a great find in the 32092 zip code.",182,65,40840875000
32092-sold-010,llama3:70b,v0,low,sold,350000.0,3,3,,1545.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 3 bathrooms within its 1545 square foot interior. Located in the 32092 zip code, it was previously sold for $350,000. Enjoy the beauty of this coastal city with all its amenities at your doorstep!",179,60,37606146600
32092-sold-011,llama3:70b,v0,low,sold,375000.0,3,2,0.17,1739.0,Saint Augustine,Florida,32092,2021-11-29,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 2 bathrooms within its 1739 square foot interior. Situated on a 0.17-acre lot, it's located in the desirable 32092 zip code. Sold for $375,000, this home presents a fantastic opportunity in a prime location.",182,67,42171862900
32092-sold-012,llama3:70b,v0,low,sold,386990.0,3,2,,1646.0,Saint Augustine,Florida,32092,2021-12-30,"This charming property in Saint Augustine, Florida, features 3 bedrooms and 2 bathrooms within its 1646 square feet of living space. Sold for $386,990, this home offers a desirable location in the 32092 zip code.",179,50,32054904700
32092-sold-013,llama3:70b,v0,low,sold,390990.0,3,2,0.13,1646.0,Saint Augustine,Florida,32092,2021-11-05,"This charming property in Saint Augustine, Florida features 3 bedrooms and 2 bathrooms within its 1646 square foot interior. Situated on a 0.13-acre lot, it offers a peaceful setting. Sold for $390,990, this home is located in the desirable 32092 zip code.",182,63,39323901800
32092-sold-014,llama3:70b,v0,low,sold,393000.0,3,3,,1790.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida, boasts 3 bedrooms and 3 bathrooms within its 1790 square feet of living space. Sold for $393,000, this residence offers a desirable location in the 32092 zip code.",179,50,31499903400
32092-sold-015,llama3:70b,v0,low,sold,395000.0,2,2,,1679.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida, features 2 bedrooms and 2 bathrooms within its 1,679 square foot interior. Sold for $395,000, this residence offers a desirable location in the 32092 zip code.",179,49,30704313100
32092-sold-016,llama3:70b,v0,low,sold,396990.0,3,2,,1388.0,Saint Augustine,Florida,32092,2022-01-31,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 2 bathrooms within its 1388 square foot interior. Located in the 32092 zip code, it was sold for $396,990. Enjoy the warm Florida climate in this lovely city!",179,54,33819968000
32092-sold-017,llama3:70b,v0,low,sold,398000.0,4,2,,1776.0,Saint Augustine,Florida,32092,2022-03-24,"This charming property in Saint Augustine, Florida offers 4 bedrooms and 2 bathrooms within its 1776 square foot interior. Located in the 32092 zip code, it was sold for $398,000. Enjoy the warm Florida weather in this beautiful city!",179,54,34134541800
32092-sold-018,llama3:70b,v0,mid,sold,400000.0,3,2,0.13,1646.0,Saint Augustine,Florida,32092,2021-10-29,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 2 bathrooms within its 1646 square foot interior. Situated on a 0.13-acre lot, it provides ample space for outdoor living. Sold for $400,000, this residence is located in the desirable 32092 zip code.",182,65,40119740900
32092-sold-019,llama3:70b,v0,mid,sold,410976.0,3,2,0.11,1740.0,Saint Augustine,Florida,32092,2021-12-30,"This charming property in Saint Augustine, Florida features 3 bedrooms and 2 bathrooms within its 1740 square foot interior. Situated on a 0.11-acre lot, it offers ample space for outdoor living. Sold for $410,976, this residence is located in the desirable 32092 zip code.",182,65,40076790100
32092-sold-020,llama3:70b,v0,mid,sold,414990.0,4,3,,1779.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida offers 4 bedrooms and 3 bathrooms within its 1779 square feet of living space. Sold for $414,990, this residence is located in the desirable 32092 zip code. Enjoy all that this beautiful city has to offer!",179,58,36570663300
32092-sold-021,llama3:70b,v0,mid,sold,419000.0,3,3,,1887.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 3 bathrooms within its 1887 square feet of living space. Sold for $419,000, this residence is located in the desirable 32092 zip code. Enjoy the best of Florida living in this beautiful city!",179,59,36433764700
32092-sold-022,llama3:70b,v0,mid,sold,420000.0,3,2,,2115.0,Saint Augustine,Florida,32092,2022-02-18,"This charming property in Saint Augustine, Florida, features 3 bedrooms and 2 bathrooms within its 2115 square foot interior. Located in the 32092 zip code, it offers a desirable location in this popular city. Sold for $420,000, this home presents an excellent opportunity for those seeking a comfortable living space in a prime area.",179,71,43407464600
32092-sold-023,llama3:70b,v0,mid,sold,422915.0,3,2,0.11,1674.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida features 3 bedrooms and 2 bathrooms within its 1674 square foot interior. Situated on a 0.11-acre lot, it offers a peaceful setting. Sold for $422,915, this home is located in the desirable 32092 zip code.",182,63,38704127000
32092-sold-024,llama3:70b,v0,mid,sold,425000.0,3,2,,1850.0,Saint Augustine,Florida,32092,2022-04-25,"This charming property in Saint Augustine, Florida is a must-see! Sold for $425,000, it features 3 bedrooms and 2 bathrooms within its spacious 1850 square foot interior. Located in the desirable 32092 zip code, this home offers the perfect blend of comfort and convenience.",179,62,38388155200
32092-sold-025,llama3:70b,v0,mid,sold,429990.0,3,2,,1934.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida features 3 bedrooms and 2 bathrooms within its 1934 square feet of living space. Sold for $429,990, this residence offers a desirable location in the 32092 zip code.",179,49,31015160500
32092-sold-026,llama3:70b,v0,mid,sold,435000.0,4,2,,2005.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida offers 4 bedrooms and 2 bathrooms within its 2005 square foot interior. Located in the 32092 zip code, this residence was sold for $435,000. Enjoy the beauty of Saint Augustine from this lovely home!",179,56,35253820300
32092-sold-027,llama3:70b,v0,mid,sold,438990.0,3,3,0.15,2053.0,Saint Augustine,Florida,32092,2021-12-30,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 3 bathrooms within its 2053 square feet of living space. Situated on a 0.15-acre lot, it's located in the desirable 32092 zip code. Sold for $438,990, this home presents a fantastic opportunity in a prime location.",182,69,42998706000
32092-sold-028,llama3:70b,v0,mid,sold,448990.0,3,4,,2418.0,Saint Augustine,Florida,32092,2021-11-29,"This stunning property in Saint Augustine, Florida boasts 3 bedrooms and 4 bathrooms within its spacious 2418 square foot interior. Located in the desirable 32092 zip code, this residence was sold for $448,990. Enjoy the charm of this beautiful city with all it has to offer!",179,61,38299798900
32092-sold-029,llama3:70b,v0,mid,sold,455000.0,2,2,,2160.0,Saint Augustine,Florida,32092,2022-01-24,"This charming property in Saint Augustine, Florida, features 2 bedrooms and 2 bathrooms within its spacious 2160 square foot interior. Located in the desirable 32092 zip code, this residence was sold for $455,000. Enjoy the best of Florida living in this beautiful city!",179,59,37124313600
32092-sold-030,llama3:70b,v0,mid,sold,455990.0,3,3,,2206.0,Saint Augustine,Florida,32092,2022-03-29,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 3 bathrooms within its 2206 square foot interior. Located in the 32092 zip code, it was sold for $455,990. Enjoy the best of Florida living in this beautiful city!",179,55,34340728700
32092-sold-031,llama3:70b,v0,mid,sold,459990.0,3,3,0.11,2206.0,Saint Augustine,Florida,32092,2022-03-29,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 3 bathrooms within its 2206 square feet of living space. Situated on a 0.11-acre lot, it provides a peaceful retreat. Sold for $459,990, this home is a great find in the desirable 32092 zip code.",182,67,41861342800
32092-sold-032,llama3:70b,v0,mid,sold,465990.0,3,3,,2053.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida offers 3 bedrooms and 3 bathrooms within its 2053 square feet of living space. Located in the 32092 zip code, it was sold for $465,990. Enjoy the best of Florida living in this beautiful city!",179,57,35460606200
32092-sold-033,llama3:70b,v0,mid,sold,484990.0,2,3,,2418.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida, features 2 bedrooms and 3 bathrooms within its 2418 square feet of living space. Sold for $484,990, this residence offers a desirable location in the 32092 zip code.",179,50,31398916200
32092-sold-034,llama3:70b,v0,high,sold,491984.0,3,2,0.11,1753.0,Saint Augustine,Florida,32092,2022-04-25,"This charming property in Saint Augustine, Florida features 3 bedrooms and 2 bathrooms within its 1753 square feet of living space. Situated on a 0.11-acre lot, it offers a peaceful retreat. Sold for $491,984, this home is located in the desirable 32092 zip code.",182,65,40549890200
32092-sold-035,llama3:70b,v0,high,sold,497999.0,4,3,0.13,2035.0,Saint Augustine,Florida,32092,2022-04-22,"This stunning property in Saint Augustine, Florida boasts 4 bedrooms and 3 bathrooms within its spacious 2035 square foot interior. Situated on a 0.13-acre lot, it offers ample outdoor space. Sold for $497,999, this residence is a fantastic find in the desirable 32092 zip code.",182,66,40990418600
32092-sold-036,llama3:70b,v0,high,sold,513460.0,4,3,0.11,2340.0,Saint Augustine,Florida,32092,2021-10-29,"This stunning property in Saint Augustine, Florida boasts 4 bedrooms and 3 bathrooms within its spacious 2340 square foot interior. Situated on a 0.11-acre lot, it offers ample outdoor space. Sold for $513,460, this residence is located in the desirable 32092 zip code.",182,64,40004894900
32092-sold-037,llama3:70b,v0,high,sold,529900.0,4,4,,2682.0,Saint Augustine,Florida,32092,2022-03-08,"This stunning property in Saint Augustine, Florida boasts 4 bedrooms and 4 bathrooms within its spacious 2682 square foot interior. Located in the desirable 32092 zip code, this residence offers a perfect blend of comfort and convenience. Sold for $529,900, this fantastic opportunity is now off the market.",179,64,40165385000
32092-sold-038,llama3:70b,v0,high,sold,539900.0,5,3,,2913.0,Saint Augustine,Florida,32092,2022-03-08,"This stunning property in Saint Augustine, Florida, boasts 5 bedrooms and 3 bathrooms within its spacious 2913 square feet interior. Located in the desirable 32092 zip code, this residence was sold for $539,900.",179,48,30345722600
32092-sold-039,llama3:70b,v0,high,sold,549900.0,4,3,,2357.0,Saint Augustine,Florida,32092,2022-04-25,"This stunning property in Saint Augustine, Florida, boasts 4 bedrooms and 3 bathrooms within its spacious 2357 square foot interior. Sold for $549,900, this residence offers ample space for relaxation and entertainment. Located in the desirable 32092 zip code, it's a fantastic find in this charming city.",179,65,40524263200
32092-sold-040,llama3:70b,v0,high,sold,560900.0,4,3,,2358.0,Saint Augustine,Florida,32092,2022-02-18,"This stunning property in Saint Augustine, Florida, boasts 4 bedrooms and 3 bathrooms within its spacious 2358 square foot interior. Located in the desirable 32092 zip code, this residence was sold for $560,900. Enjoy the charm of this beautiful city with all it has to offer!",179,62,38713729500
32092-sold-041,llama3:70b,v0,high,sold,569000.0,3,2,,1896.0,Saint Augustine,Florida,32092,2022-03-31,"This charming property in Saint Augustine, Florida, features 3 bedrooms and 2 bathrooms within its 1896 square feet of living space. Sold for $569,000, this residence offers a desirable location in the 32092 zip code.",179,50,31628678400
32092-sold-042,llama3:70b,v0,high,sold,577990.0,4,3,,2987.0,Saint Augustine,Florida,32092,2021-10-29,"This stunning property in Saint Augustine, Florida boasts 4 bedrooms and 3 bathrooms within its spacious 2987 square foot interior. Located in the desirable 32092 zip code, this residence was sold for $577,990.",179,47,29690779000
32092-sold-043,llama3:70b,v0,high,sold,584900.0,4,3,0.21,2647.0,Saint Augustine,Florida,32092,2022-03-31,"This stunning property in Saint Augustine, Florida boasts 4 bedrooms and 3 bathrooms within its spacious 2647 square foot interior. Situated on a 0.21-acre lot, it offers ample outdoor space. Sold for $584,900, this desirable residence is located in the 32092 zip code.",182,64,39809625600
32092-sold-044,llama3:70b,v0,high,sold,608800.0,5,5,,3254.0,Saint Augustine,Florida,32092,2022-03-29,"This stunning residence in Saint Augustine, Florida boasts 5 bedrooms and 5 bathrooms within its spacious 3254 square foot interior. Located in the desirable 32092 zip code, this property was sold for $608,800. Enjoy the charm of this beautiful city with all it has to offer!",179,61,38134196900
32092-sold-045,llama3:70b,v0,high,sold,646396.0,4,4,0.17,3061.0,Saint Augustine,Florida,32092,2022-03-29,"This stunning property in Saint Augustine, Florida boasts 4 bedrooms and 4 bathrooms within its spacious 3061 square foot interior. Situated on a 0.17-acre lot, this residence offers ample space to relax and entertain. Sold for $646,396, this property presents an unbeatable opportunity in the desirable 32092 zip code.",182,71,44207607800
32092-sold-046,llama3:70b,v0,high,sold,665000.0,5,4,,3279.0,Saint Augustine,Florida,32092,2022-04-14,"This stunning property in Saint Augustine, Florida boasts 5 bedrooms and 4 bathrooms within its spacious 3279 square foot interior. Located in the desirable 32092 zip code, this residence was sold for $665,000.",179,47,29756611100
32092-sold-047,llama3:70b,v0,high,sold,675000.0,4,3,,2844.0,Saint Augustine,Florida,32092,2022-03-31,"This stunning property in Saint Augustine, Florida boasts 4 bedrooms and 3 bathrooms within its spacious 2844 square foot interior. Located in the desirable 32092 zip code, this residence was sold for $675,000. Enjoy the charm of this beautiful city with all it has to offer!",179,61,38065965600
32092-sold-048,llama3:70b,v0,high,sold,695000.0,4,4,0.36,2930.0,Saint Augustine,Florida,32092,2022-04-22,"This stunning property in Saint Augustine, Florida boasts 4 bedrooms and 4 bathrooms within its spacious 2930 square foot interior. Situated on a generous 0.36-acre lot, this residence offers ample space to relax and entertain. Sold for $695,000, this incredible opportunity is now off the market.",182,65,40489265300
32092-sold-049,llama3:70b,v0,high,sold,725000.0,6,4,,3749.0,Saint Augustine,Florida,32092,2022-04-22,"This stunning property in Saint Augustine, Florida boasts 6 bedrooms and 4 bathrooms within its spacious 3749 square feet interior. Located in the desirable 32092 zip code, this impressive residence was sold for $725,000.",179,48,30480125900
32092-sold-050,llama3:70b,v0,high,sold,885000.0,5,4,,3629.0,Saint Augustine,Florida,32092,2022-04-22,"This stunning residence in Saint Augustine, Florida offers 5 bedrooms and 4 bathrooms within its spacious 3629 square foot interior. Located in the desirable 32092 zip code, this property was sold for $885,000. Enjoy the charm of this beautiful city with its rich history and natural beauty.",179,62,39067628200
