listing_id,model,prompt_version,price_band,status,price,bed,bath,acre_lot,house_size,city,state,zip_code,prev_sold_date,summary_text,prompt_eval_count,eval_count,total_duration_ns
32092-sold-001,llama3:latest,v0,low,sold,68500.0,,,9.9,,Saint Augustine,Florida,32092,2021-12-02,"This charming property in Saint Augustine, Florida sold for $68,500. The property sits on approximately 9.9 acres of land and is located in the 32092 zip code.",176,46,4614544000
32092-sold-002,llama3:latest,v0,low,sold,119000.0,,,0.67,,Saint Augustine,Florida,32092,2022-01-31,"This charming property in Saint Augustine, Florida has sold for $119,000. The lot measures approximately 0.67 acres and is located in the heart of this historic city.",176,37,778703000
32092-sold-003,llama3:latest,v0,low,sold,155000.0,,,1.11,,Saint Augustine,Florida,32092,2022-01-31,"""Sold property in Saint Augustine, Florida for $155,000. This property sits on approximately 1.11 acres of land and is located in the 32092 zip code.""",176,38,916194800
32092-sold-004,llama3:latest,v0,low,sold,220000.0,,,0.81,,Saint Augustine,Florida,32092,2021-12-30,"This charming property in Saint Augustine, Florida has been sold for $220,000. The lot spans approximately 0.81 acres and offers a quiet retreat in this desirable location.",176,37,929272600
32092-sold-005,llama3:latest,v0,low,sold,227990.0,2,3,0.07,1239.0,Saint Augustine,Florida,32092,2021-10-29,"This charming 2-bedroom, 3-bathroom home in Saint Augustine, Florida features approximately 1239 square feet of interior space and sits on a 0.07-acre lot. Priced at $227,990, this property offers a great value for its size and location.",182,66,1463225800
32092-sold-006,llama3:latest,v0,low,sold,249900.0,2,3,,1222.0,Saint Augustine,Florida,32092,2021-12-15,"This charming 2-bedroom, 3-bathroom home in Saint Augustine, Florida features approximately 1222 square feet of interior space. Priced at $249,900, this property offers a great value for its size and location.",179,56,1196973800
32092-sold-007,llama3:latest,v0,low,sold,264990.0,3,3,,1438.0,Saint Augustine,Florida,32092,2021-10-29,"This charming three-bedroom, three-bathroom home in Saint Augustine, Florida features approximately 1438 square feet of interior living space. Priced at $264,990, this property offers a comfortable retreat in a desirable location.",179,47,1133154100
32092-sold-008,llama3:latest,v0,low,sold,307000.0,3,2,,1126.0,Saint Augustine,Florida,32092,2021-12-30,"This charming 3 bedroom, 2 bathroom home in Saint Augustine, Florida features approximately 1126 square feet of interior space. Priced at $307,000, this property offers a cozy retreat with plenty of natural light. Located in the heart of Saint Augustine, it's just minutes from all the city has to offer.",179,68,1443756200
32092-sold-009,llama3:latest,v0,low,sold,325000.0,3,2,0.17,1126.0,Saint Augustine,Florida,32092,2022-03-31,"This charming 3 bedroom, 2 bathroom home in Saint Augustine, Florida features 1,126 square feet of interior space. Situated on a 0.17-acre lot, this property offers a great balance of space and natural surroundings. Priced at $325,000, it's an excellent opportunity for buyers looking to make their mark in this historic city.",182,83,1730751300
32092-sold-010,llama3:latest,v0,low,sold,350000.0,3,3,,1545.0,Saint Augustine,Florida,32092,2022-03-31,"This charming 3 bedroom, 3 bathroom home in Saint Augustine, Florida features approximately 1545 square feet of interior space. Priced at $350,000, this property offers a great value for those looking to call this historic city home.",179,59,1308387400
32092-sold-011,llama3:latest,v0,low,sold,375000.0,3,2,0.17,1739.0,Saint Augustine,Florida,32092,2021-11-29,"Here is the concise property summary:

This charming 3 bedroom, 2 bathroom home in Saint Augustine, Florida features approximately 1739 square feet of interior space and sits on a 0.17 acre lot. Priced at $375,000, this property offers a great value for those looking to call this historic city home.",182,69,1471250100
